# ID	X	Y	width	height	angle	
11	1138.11	1901.99	39.2176	42.3185	163.764
12	1144.69	2135.05	37.2446	41.7761	159.068
13	1153.64	2338.19	38.1139	42.078	154.196
21	1282.96	1906.99	37.2801	40.7326	158.246
22	1291.85	2125.21	38.1695	40.8632	142.619
23	1301.75	2362.44	39.5762	42.1786	156.079
31	1319.96	1958.33	42.2461	44.7042	162.951
33	1328.55	2445.49	39.8861	44.3512	150.049
41	1446.67	2004.67	43.4093	48.9217	162.52
51	1721.49	2011.99	33.4723	34.9999	99.7212
52	1730.95	2277.71	32.1758	34.3306	161.801
53	1742.7	2569.06	29.4484	32.3916	135.037
61	2062.82	2029.33	46.4749	47.931	128.772
62	2066.71	2267	48.2262	51.6236	143.141
71	2323.8	1984.96	46.2433	47.3941	112.53
72	2324.9	2240.65	46.7985	47.9612	113.266
73	2329.25	2497.75	43.5866	46.2128	130.017
81	2497.2	1936.55	43.7057	44.4727	115.008
82	2500.63	2178.06	43.1472	43.9472	125.106
83	2504.65	2420.58	40.1462	41.3133	83.0646
91	2670.61	1945.91	43.1351	44.0041	136.406
92	2671.25	2174.49	42.8811	43.5012	87.6751
93	2667.43	2404.41	40.9224	42.6036	111.225
121	413.315	2428.85	34.7959	36.1287	102.835
122	416.636	2064.95	21.3659	22.4497	150.038
123	421.277	1710.75	34.3264	35.0681	135.692
124	429.275	1356.39	34.3217	34.7762	151.074
125	438.339	1009.18	21.5079	22.1109	170.679
126	451.393	650.884	33.8595	35.3028	66.759
127	464.183	316.168	33.4869	35.0034	61.7856
132	1255.55	2164.58	23.1746	24.5666	151.278
134	1266.94	1440.3	38.074	38.9898	37.5482
135	1270.61	1156.12	38.3245	38.5708	57.5952
136	1277.06	865.497	24.8394	25.4542	20.5155
137	1285.92	581.95	34.9097	37.5346	41.5527
138	1297.29	217.328	34.9668	36.6539	23.7454
142	2105.1	2211.62	23.0264	24.1458	123.758
143	2110.25	1838.12	42.1694	42.5733	108.778
144	2113.7	1450.87	27.0645	27.6854	14.5431
145	2118.97	1154.37	27.1007	27.4417	37.8323
146	2122.45	851.714	36.2863	37.2759	74.031
147	2125.26	564.12	35.5498	37.5121	68.9123
148	2131.13	188.809	38.3735	40.1587	68.154
151	2904.44	2585.46	38.764	41.5563	115.934
152	2912.46	2238.57	25.2538	26.2082	109.607
153	2920.48	1854.95	40.1915	41.3123	96.8569
154	2923.48	1458.69	26.4484	26.871	81.6331
155	2924.38	1153.52	40.4156	41.107	86.8614
156	2925.6	847.875	25.6952	26.6076	63.427
157	2925.2	548.673	38.881	41.0869	70.0377
158	2920.08	162.308	37.2456	40.5749	63.7013
161	3885.44	2631.92	37.5738	46.1294	118.024
162	3893.06	2257.04	25.5975	28.8034	118.257
163	3900.18	1832.43	40.7987	44.1922	107.84
164	3903.43	1426.2	40.8515	43.7199	91.6245
165	3901.53	1025.52	26.682	27.9466	72.1974
166	3897.54	602.585	39.5569	44.4806	61.2297
167	3890.13	209.185	37.9202	45.2719	57.0542
210	768.153	2356.81	31.2427	34.0266	75.5253
211	769.857	2030.23	19.9348	20.2092	117.17
212	773.085	1700.76	31.5999	32.7329	84.1739
213	778.735	1389.27	31.4691	32.9184	85.2575
214	787.61	1066.74	20.0494	20.6931	91.3483
215	796.91	738.533	31.2779	33.5577	92.9461
216	809.029	433.793	30.3746	32.284	84.0316
217	825.015	135.316	19.8832	21.0615	111.643
220	1878.12	2453.28	34.6458	36.3923	141.816
221	1883.1	2111.48	23.3724	25.0587	162.541
222	1887.51	1746.68	36.7256	37.2104	19.9415
223	1893.35	1382.93	23.1355	23.8213	1.08798
224	1898.61	1011.64	23.049	23.9759	16.7268
225	1906.71	647.397	36.4585	37.443	38.2872
226	1912.44	311.743	32.7202	35.6961	64.1848
310	364.666	2229.98	26.1197	27.9092	84.9878
311	366.915	1963.62	17.0798	18.5853	83.703
312	370.58	1685.84	26.8079	29.3195	86.9035
313	376.348	1418.48	26.6554	28.5842	88.4885
314	384.634	1131.34	16.9268	17.531	119.346
315	393.159	870.119	26.2735	28.3753	91.7669
316	402.392	603.874	24.8501	26.7649	93.9325
317	415.028	309.788	16.4516	17.5574	76.8526
318	423.607	47.3475	22.9723	24.2959	89.7921
320	875.889	2265.89	27.7856	28.9573	82.6277
321	877.769	1989.07	17.1505	18.0327	139.843
322	881.202	1705.19	27.5686	28.0981	114.018
323	886.201	1432.48	27.289	28.3277	97.0419
324	893.314	1127.56	17.1333	17.7195	73.6525
325	901.364	857.971	27.6023	28.3502	93.4607
326	910.569	579.944	26.9615	28.1551	52.744
327	921.927	279.64	16.8516	17.8917	70.9788
331	1495.21	2023.13	18.6716	19.1896	153.077
332	1496.88	1743.61	30.7824	31.2283	83.333
333	1500.3	1464.99	30.6278	31.3445	93.1916
334	1505.5	1236.93	19.1658	20.2207	0
336	1514.72	782.914	30.456	31.0902	68.1085
337	1522.1	533.91	30.0283	30.682	66.586
338	1530.47	232.074	19.851	19.9299	40.7525
360	3585.02	2388.61	29.5942	32.5052	119.633
361	3591.74	2084.94	20.7924	22.3568	120.952
362	3597.86	1769.6	32.6949	34.4332	109.045
363	3600.09	1449.92	32.3831	33.9129	96.516
364	3602.34	1135.49	21.2215	22.4365	78.5356
365	3598.68	810.765	31.4634	33.7166	74.4422
366	3595.63	490.355	32.0899	35.5306	64.2495
367	3588.65	191.013	19.3715	21.6078	55.95
370	4252.05	2377.06	31.0425	36.5481	111.348
371	4254.97	2107.01	19.6112	21.7913	99.6048
374	4259.42	1138.44	21.6165	23.107	81.5323
376	4251.33	493.045	31.5067	36.7834	74.782
377	4246.83	178.672	20.1928	24.4635	65.9149
400	492.88	2219.18	26.3961	29.5553	173.755
401	491.355	1854.61	16.0779	18.5682	170.46
402	493.539	1507.24	23.3703	27.663	179.648
403	499.173	1160.02	16.1097	18.1035	9.60069
404	503.163	816.915	24.1697	27.46	13.7184
405	527.719	474.76	16.2808	18.3688	27.5422
406	518.298	237.717	18.2684	21.6219	22.9393
410	806.883	2238.91	25.0146	28.5782	156.639
411	797.987	1867.22	17.6618	19.9087	171.013
420	1121.76	2257.57	27.4912	29.8324	150.847
422	1120.32	1518.08	29.6139	31.3637	7.04791
423	1122.08	1157.64	20.0923	21.1662	18.4794
424	1129.84	798.35	27.4888	29.6357	25.6774
425	1148.91	444.679	20.0353	21.0712	26.1917
426	1141.88	200.528	20.4608	23.9248	38.0042
431	1445.94	1897.73	21.3445	21.5804	32.4599
