# ID	X	Y	width	height	angle	
11	2595.56	1958.71	41.0009	43.8747	27.1288
12	2592.55	2210.78	40.3827	42.8559	36.3685
13	2592.33	2429.57	40.749	43.6529	38.1896
21	2754.51	1952.85	40.9466	43.1847	28.1742
22	2758.38	2184.25	38.2678	42.931	28.215
23	2757.86	2435.12	38.3979	43.2738	35.858
31	3018.36	1998.24	41.6862	46.9765	19.3685
33	3010.32	2508.06	40.7136	45.4302	33.5779
41	3321.81	2029.72	46.1786	49.5937	30.7952
51	3646.59	2011.6	28.298	33.7345	19.2955
52	3646.54	2273.42	30.4225	33.8442	14.3819
53	3647.85	2560.83	25.6199	30.6794	23.636
61	3872.65	2004.76	38.9012	47.297	14.8077
62	3867.12	2231.52	43.7252	48.7515	27.2135
71	3923.49	1951	38.0881	45.6674	15.5395
73	3907	2433.42	35.5261	43.3475	21.101
91	3991.87	1901.49	33.6544	39.3142	11.8284
92	3989.3	2110.6	30.748	38.8167	12.3391
93	3981.74	2322.63	31.5999	37.4914	19.9811
112	470.061	2245.62	24.7508	27.9668	58.8182
113	470.766	1807.51	42.4182	45.4611	64.2863
114	475.734	1379.38	43.0662	44.9513	89.9887
115	485.322	951.397	25.6555	27.3636	130.391
116	496.898	518.113	39.7408	45.4602	129.758
117	509.67	106.89	25.9907	32.4758	138.242
121	1474.65	2643.76	40.4766	45.4877	48.8076
122	1471.31	2213.64	26.1478	27.9247	43.3099
123	1468.86	1791.22	40.7574	41.8524	52.4903
124	1470.54	1366.42	40.9766	41.367	104.952
125	1472.94	951.091	28.687	29.5954	142.379
126	1479.15	525.722	38.4445	41.6556	121.847
127	1484.89	132.673	40.7715	45.1373	129.524
131	2509.67	2592.74	37.5713	41.9764	38.1195
132	2510.55	2236.79	25.6616	27.9316	35.1281
133	2511.83	1860.38	39.5819	41.9162	23.2398
134	2514.1	1456.34	41.7615	43.5033	4.26894
135	2510.64	1149.46	41.8322	43.2774	168.288
136	2508.22	836.469	26.106	27.4762	160.864
137	2506.33	531.913	34.9219	38.5296	134.073
142	3353.41	2198.63	20.1764	23.7854	24.8677
143	3355.56	1833.92	32.7119	37.4425	12.2147
144	3353.24	1456.8	24.603	28.0473	173.202
145	3351.66	1168.77	24.9966	27.7489	179.202
146	3346.05	873.299	29.2567	35.1844	159.414
147	3338.78	592.343	29.5381	35.7594	154.626
151	4014.2	2474.97	32.6225	35.6451	22.6946
153	4017.17	1811.66	34.6164	37.0777	14.2293
